Date,Open,High,Low,Close,Adj Close,Volume
2017-08-04,125.150002,125.180000,124.440002,124.930000,105.984840,8485500
2017-08-07,124.839996,125.099998,124.610001,125.070000,106.103615,4684600
2017-08-08,124.870003,124.980003,124.150002,124.620003,105.721832,6197400
2017-08-09,125.930000,125.949997,125.199997,125.300003,106.298691,9221800
2017-08-10,125.620003,126.440002,125.519997,126.370003,107.206482,10378200
2017-08-11,125.769997,126.459999,125.550003,126.430000,107.257385,5717800
2017-08-14,125.989998,126.279999,125.730003,125.779999,106.705948,5111000
2017-08-15,124.730003,125.540001,124.709999,125.250000,106.256332,7473200
2017-08-16,124.830002,126.019997,124.809998,125.709999,106.646568,5283800
2017-08-17,125.699997,126.680000,125.510002,126.650002,107.444023,9364700
2017-08-18,126.980003,127.150002,126.260002,126.620003,107.418579,8382500
2017-08-21,126.769997,127.019997,126.500000,126.930000,107.681541,7669800
2017-08-22,126.790001,126.809998,126.269997,126.440002,107.265846,6140700
2017-08-23,127.040001,127.309998,126.760002,127.300003,107.995407,7446400
2017-08-24,126.879997,127.309998,126.720001,126.830002,107.596725,5569400
2017-08-25,127.019997,127.449997,126.870003,127.320000,108.012428,7303300
2017-08-28,126.919998,127.389999,126.730003,127.239998,107.944557,4448500
2017-08-29,128.460007,128.520004,127.309998,127.650002,108.292343,7659400
2017-08-30,127.459999,127.739998,127.339996,127.610001,108.258400,4735200
2017-08-31,127.639999,128.029999,127.570000,127.989998,108.580788,7978400
2017-09-01,127.309998,127.339996,126.430000,126.750000,107.750259,14128600
2017-09-05,127.690002,128.800003,127.690002,128.759995,109.458984,15215700
2017-09-06,128.720001,129.000000,127.739998,127.970001,108.787384,9066400
2017-09-07,128.330002,129.570007,128.330002,129.279999,109.901001,13618900
2017-09-08,129.110001,129.160004,128.570007,129.000000,109.663025,9808500
2017-09-11,127.870003,128.050003,127.260002,127.459999,108.353828,17856700
2017-09-12,127.050003,127.089996,126.529999,126.790001,107.784279,7557400
2017-09-13,126.910004,126.919998,126.279999,126.290001,107.359169,6740000
